frame_idx,t_sec,dt_cumavg_ms,motor_encoders_FL,motor_encoders_FR,motor_encoders_BL,motor_encoders_BR,motor_speeds_FL,motor_speeds_FR,motor_speeds_BL,motor_speeds_BR,pid_outputs_FL,pid_outputs_FR,pid_outputs_BL,pid_outputs_BR,desired_speed,actual_speed_fl,raw_v1_fl,estimated_velocity,kalman_v_pred,pendulum_angle_deg,lqr_force,kalman_theta_rad,kalman_v,kalman_x,x_ref,theta_ref_deg,sprint_active,pwm
1,2.5489529999904335,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.0,-128.0,-128.0,-128.0,-0.0,0.0,0.0,0.0,0.0,-1.44,-15.627,-0.025,0.0,-0.0,0.0,0.0,0,-0.128
2,2.5627229000092484,2.719,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.024,-183.0,-183.0,-183.0,-136.0,-0.062,0.0,0.0,-0.007,-0.017,-1.44,-4.758,-0.025,-0.007,-0.0,0.0,0.0,0,-0.183
3,2.5664446000009775,2.801,-0.0,-0.0,-0.001,-0.001,-0.024,-0.009,-0.056,-0.032,-157.0,-187.0,-92.0,-140.0,-0.077,-0.024,0.0,-0.03,-0.034,-1.44,-3.034,-0.024,-0.03,-0.001,0.0,0.0,0,-0.157
4,2.581316900032107,2.796,-0.002,-0.002,-0.002,-0.001,-0.08,-0.089,-0.065,-0.056,60.0,77.0,-148.0,-166.0,-0.104,-0.08,-0.237,-0.072,-0.067,-1.44,-6.381,-0.023,-0.072,-0.002,0.0,0.0,0,0.06
5,2.5959509999956936,2.784,-0.002,-0.004,-0.002,-0.002,-0.08,-0.123,-0.033,-0.047,-136.0,-50.0,-349.0,-202.0,-0.123,-0.08,0.0,-0.072,-0.082,-1.44,-3.012,-0.023,-0.072,-0.002,0.0,0.0,0,-0.136
6,2.5992426000302657,2.79,-0.002,-0.004,-0.003,-0.003,-0.033,-0.09,-0.033,-0.08,-370.0,-254.0,-133.0,-38.0,-0.134,-0.033,0.0,-0.059,-0.063,-1.44,-2.561,-0.022,-0.059,-0.003,0.0,0.0,0,-0.37
7,2.6164212999865413,2.802,-0.003,-0.004,-0.004,-0.003,-0.041,-0.047,-0.065,-0.08,-234.0,-102.0,-68.0,-156.0,-0.135,-0.041,0.0,-0.057,-0.046,-1.26,-2.109,-0.021,-0.057,-0.004,0.0,0.0,0,-0.234
8,2.621768900018651,2.79,-0.005,-0.005,-0.005,-0.004,-0.076,-0.057,-0.103,-0.095,-195.0,-231.0,38.0,-38.0,-0.145,-0.076,0.0,-0.082,-0.073,-1.17,-3.413,-0.019,-0.082,-0.004,0.0,0.0,0,-0.195
9,2.6408118000254035,2.783,-0.006,-0.007,-0.005,-0.005,-0.1,-0.114,-0.095,-0.104,-170.0,36.0,-181.0,-161.0,-0.16,-0.1,0.0,-0.103,-0.1,-1.08,-2.338,-0.018,-0.103,-0.006,0.0,0.0,0,-0.17
10,2.6463205000036396,2.776,-0.007,-0.009,-0.005,-0.007,-0.114,-0.147,-0.047,-0.114,49.0,117.0,-381.0,-128.0,-0.16,-0.114,-0.237,-0.105,-0.1,-0.9,-0.162,-0.016,-0.105,-0.007,0.0,0.0,0,0.049
11,2.6609520000056364,2.797,-0.009,-0.01,-0.007,-0.008,-0.112,-0.146,-0.055,-0.12,-131.0,-62.0,-246.0,-114.0,-0.159,-0.112,-0.237,-0.109,-0.109,-0.81,-0.116,-0.013,-0.109,-0.008,0.0,0.0,0,-0.131
12,2.6753439999883994,2.801,-0.01,-0.011,-0.01,-0.009,-0.135,-0.135,-0.2,-0.105,-239.0,-119.0,304.0,-300.0,-0.171,-0.135,0.0,-0.144,-0.147,-0.63,-2.012,-0.011,-0.144,-0.01,0.0,0.0,0,-0.239
13,2.679132400022354,2.801,-0.012,-0.012,-0.012,-0.011,-0.145,-0.103,-0.234,-0.131,-84.0,-286.0,33.0,63.0,-0.174,-0.145,-0.237,-0.154,-0.16,-0.45,1.438,-0.008,-0.154,-0.012,0.0,0.0,0,-0.084
14,2.6946704000001773,2.798,-0.014,-0.014,-0.014,-0.013,-0.155,-0.113,-0.193,-0.155,-40.0,-123.0,-82.0,137.0,-0.165,-0.155,-0.237,-0.154,-0.151,-0.27,2.335,-0.005,-0.154,-0.014,0.0,0.0,0,-0.04
