time_s,angle_deg
0.000000,0.000000
0.064490,0.000000
0.114670,0.000000
0.160934,0.000000
0.206819,0.000000
0.252692,0.000000
0.299731,0.000000
0.349781,0.000000
0.399678,0.000000
0.449725,0.000000
0.500102,0.000000
0.551736,0.000000
0.599724,0.000000
0.650004,0.000000
0.700059,0.000000
0.749569,0.000000
0.799577,0.000000
0.849564,0.000000
1.047787,0.000000
1.092604,0.000000
1.138656,0.000000
1.183547,0.000000
1.228919,0.000000
1.273199,0.000000
1.317545,0.000000
1.363177,0.000000
1.408607,0.000000
1.455345,0.000000
1.506841,0.000000
1.568711,0.000000
1.614318,0.000000
1.658475,0.000000
1.704647,0.000000
1.750589,0.000000
1.795852,0.000000
1.841316,0.000000
1.888624,0.000000
1.935997,0.000000
1.984352,0.000000
2.029207,-0.360000
2.074415,-0.360000
2.120144,-0.360000
2.165862,-0.360000
2.211206,0.360000
2.255549,1.080000
2.302124,2.160000
2.347378,3.600000
2.396982,5.040000
2.443733,6.840000
2.499504,8.280000
2.547061,10.080000
2.596673,11.520000
2.647043,13.320000
2.698673,15.120000
2.744955,16.920000
2.800439,18.720000
2.847461,20.520000
2.895300,22.320000
2.941907,24.120000
2.998299,26.280000
3.048312,28.080000
3.101331,29.880000
3.157497,31.680000
3.205803,33.840000
3.253096,36.360000
3.302421,38.520000
3.352685,41.040000
3.402148,43.920000
3.447227,46.800000
3.493727,50.040000
3.540324,52.920000
3.589799,56.160000
3.634633,59.040000
3.686502,62.280000
3.735817,65.160000
3.780630,68.040000
3.826404,70.920000
3.873333,73.800000
3.933691,76.320000
3.979252,79.200000
4.026015,82.080000
4.070343,84.960000
4.115119,87.840000
4.160073,90.720000
4.207332,94.320000
4.254581,97.920000
4.300831,101.880000
4.348851,106.200000
4.398739,110.520000
4.448784,113.760000
4.498677,115.560000
4.548660,115.200000
4.598693,112.320000
4.648702,107.640000
4.698717,101.520000
4.755832,93.960000
4.802337,86.040000
4.856385,78.120000
4.905005,70.920000
4.955448,64.440000
5.003402,59.040000
5.050324,55.440000
5.101405,54.000000
5.148645,55.440000
5.198789,59.040000
5.248663,64.440000
5.298559,70.920000
5.348562,77.040000
5.398497,79.560000
5.448513,77.760000
5.498584,73.800000
5.548541,68.400000
5.598476,64.800000
5.648420,64.440000
5.703205,66.960000
5.759244,70.200000
5.806506,70.920000
5.855811,68.760000
5.906042,66.240000
5.956032,63.360000
6.004332,65.520000
6.056470,69.120000
6.104361,69.840000
6.152200,67.680000
6.200622,64.800000
6.249511,66.600000
6.298305,69.480000
6.348328,68.760000
6.398240,66.600000
6.448380,65.520000
6.498437,68.760000
6.548211,69.480000
6.598191,65.520000
6.648422,64.440000
6.698153,68.040000
6.748304,70.920000
6.800000,68.760000
6.852907,67.320000
6.900955,72.000000
6.948382,75.240000
6.998866,72.000000
7.048093,68.400000
7.098297,70.200000
7.148192,73.800000
7.198222,72.720000
7.254833,69.840000
7.306475,71.640000
7.356946,76.320000
7.413251,81.720000
7.460453,87.840000
7.507702,94.320000
7.554639,100.800000
7.605745,106.560000
7.653827,111.960000
7.703705,116.640000
7.750678,119.520000
7.803597,120.240000
7.850301,115.560000
7.897978,107.640000
7.947885,96.840000
7.998553,84.960000
8.048693,72.720000
8.097976,60.120000
8.154599,47.880000
8.200863,37.440000
8.263334,28.800000
8.324511,22.680000
8.371692,20.160000
8.426481,21.600000
8.471801,27.360000
8.519665,37.080000
8.565454,49.680000
8.611677,64.080000
8.659136,78.840000
8.708213,93.960000
8.755001,109.080000
8.805617,123.120000
8.852783,132.480000
8.902499,136.080000
8.952593,135.360000
8.999584,130.320000
9.049708,121.320000
9.104136,109.800000
9.152786,96.120000
9.201553,81.720000
9.249503,66.960000
9.297926,52.560000
9.347615,40.320000
9.397517,30.240000
9.447590,23.760000
9.497586,21.960000
9.547745,25.560000
9.597484,34.200000
9.650581,46.080000
9.699614,60.120000
9.747673,74.520000
9.797538,89.640000
9.847441,104.760000
9.897477,118.800000
9.947543,129.240000
9.997331,134.640000
10.047537,135.720000
10.101480,132.840000
10.149411,126.720000
10.197365,117.720000
10.249466,105.840000
10.297460,92.520000
10.347342,78.120000
10.397431,63.720000
10.447383,50.400000
10.497336,39.240000
10.547288,30.240000
10.597309,23.040000
10.649242,18.000000
10.700507,16.560000
10.748129,19.440000
10.797299,25.560000
10.847272,34.560000
10.897245,45.360000
10.947270,57.240000
10.997310,69.480000
11.047289,82.440000
11.097108,95.400000
11.147356,107.640000
11.197081,118.080000
11.247532,125.640000
11.297117,128.880000
11.347322,128.880000
11.397123,126.720000
11.447144,123.120000
11.497103,118.800000
11.547130,113.760000
11.597020,108.000000
11.648862,102.600000
11.699717,98.280000
11.749944,94.320000
11.798050,90.720000
11.846899,87.120000
11.897061,84.240000
11.946956,82.800000
11.996956,82.080000
12.047116,82.080000
12.096910,82.440000
12.147970,82.440000
12.198437,82.440000
12.252584,82.440000
12.301008,82.800000
12.349093,82.440000
12.396887,80.640000
12.451240,81.000000
12.500002,84.960000
12.552706,87.120000
12.601556,85.680000
12.650163,82.800000
12.701136,81.720000
12.750738,83.160000
12.799923,82.080000
12.851683,80.280000
12.903597,79.560000
12.952567,80.640000
13.002897,79.920000
13.053337,79.200000
13.108509,82.080000
13.157222,84.960000
13.207230,82.080000
13.256410,79.920000
13.305089,82.080000
13.354841,82.800000
13.406014,81.720000
13.455476,83.160000
13.505269,83.520000
13.554188,81.720000
13.604991,81.000000
13.654374,81.000000
13.703904,81.000000
13.754243,81.360000
13.804514,81.360000
13.854683,81.720000
13.904208,81.720000
13.954216,81.360000
14.004385,81.000000
14.055315,80.640000
14.104952,79.920000
14.155532,79.200000
14.206707,78.480000
14.256296,77.400000
14.306360,76.320000
14.355329,74.880000
14.404392,73.800000
14.455577,72.360000
14.506033,70.560000
14.557376,68.400000
14.607343,65.520000
14.657377,60.840000
14.711949,55.440000
14.764532,48.960000
14.815159,41.760000
14.865046,34.920000
14.914438,28.800000
14.964622,23.760000
15.014316,19.800000
15.065532,16.560000
15.115521,13.680000
15.165392,10.800000
15.217149,7.560000
15.266575,3.960000
15.319484,0.360000
15.371149,0.360000
15.422693,-0.360000
15.480118,0.360000
15.544141,0.720000
15.596023,1.080000
15.647719,1.080000
15.700038,2.160000
15.751424,2.520000
15.804424,2.520000
15.855669,2.160000
15.908540,2.520000
15.959703,2.520000
16.013872,2.520000
16.064496,2.520000
16.117342,2.520000
16.167689,2.520000
16.217449,2.520000
16.283085,2.520000
16.334719,2.520000
16.385350,2.520000
16.435698,2.520000
16.487518,2.520000
16.541191,2.520000
16.599464,2.520000
16.650065,2.520000
16.701938,2.520000
16.751735,2.520000
16.804240,2.520000
16.856450,2.520000
16.907160,2.520000
16.966151,2.520000
17.018205,2.520000
17.071361,2.520000
17.121954,2.520000
17.175536,2.520000
17.225325,2.520000
17.279947,2.520000
17.334463,2.520000
17.386415,2.520000
17.437181,2.520000
17.498747,2.520000
17.551609,2.520000
17.605964,2.520000
17.655727,2.520000
17.706931,2.520000
17.760186,2.520000
17.816979,2.520000
17.866406,2.520000
17.916826,2.520000
17.967307,2.520000
18.017230,2.520000
18.066155,2.520000
18.118569,2.520000
18.175884,2.520000
18.225298,2.520000
18.286836,2.520000
18.339354,2.520000
18.391513,2.520000
18.440486,2.520000
18.491209,2.520000
18.541292,2.520000
18.591444,2.520000
18.642563,2.520000
18.692829,2.520000
18.748795,2.520000
18.804930,2.520000
18.867247,2.520000
18.917460,2.520000
18.967554,2.520000
19.019054,2.520000
19.070185,2.520000
19.121293,2.520000
19.172019,2.520000
19.224492,2.520000
19.274905,2.520000
19.326785,2.520000
19.377382,2.520000
19.435100,2.520000
19.490216,2.520000
19.543927,2.520000
19.593859,2.520000
19.647876,2.520000
19.698304,2.520000
19.748819,2.520000
19.801736,2.520000
19.857175,2.520000
19.908472,2.520000
19.959577,2.520000
20.017239,2.520000
20.071534,2.520000
20.122397,2.520000
20.173857,2.520000
20.229985,2.520000
20.279771,2.520000
20.331727,2.520000
20.384382,2.520000
20.437064,2.520000
20.489437,2.520000
20.539978,2.520000
20.590656,2.520000
20.640691,2.520000
20.691151,2.520000
20.741327,2.520000
20.793376,2.520000
20.843842,2.520000
20.906258,2.520000
20.963519,2.520000
21.015139,2.520000
21.068967,2.520000
21.120197,2.520000
21.173348,2.520000
21.227410,2.520000
21.278554,2.520000
21.329224,2.520000
21.379691,2.520000
21.435631,2.520000
21.485239,2.520000
21.531694,2.520000
21.578724,2.520000
21.625095,2.520000
21.672066,2.520000
21.718276,2.520000
21.768035,2.520000
21.817992,2.520000
21.869767,2.520000
21.916873,2.520000
21.964488,2.520000
22.015147,2.520000
22.062530,2.520000
22.110415,2.520000
22.158466,2.520000
22.206231,2.520000
22.255836,2.520000
22.304448,2.520000
22.351624,2.520000
22.400322,2.520000
22.447707,2.520000
22.498213,2.520000
22.545610,2.520000
22.593534,2.520000
22.641910,2.520000
22.689986,2.520000
22.737062,2.520000
22.788715,2.520000
22.839245,2.520000
22.889666,2.520000
22.941789,2.520000
22.989057,2.520000
23.036790,2.520000
23.083728,2.520000
23.130609,2.520000
23.178143,2.520000
23.225810,2.520000
23.273806,2.520000
23.322261,2.520000
23.369161,2.520000
23.422671,2.520000
23.472736,2.520000
23.524853,2.520000
23.575100,2.520000
23.622541,2.520000
23.671448,2.520000
23.719286,2.520000
23.769656,2.520000
23.818384,2.520000
23.867613,2.520000
23.916669,2.520000
23.967257,2.520000
24.015427,2.520000
24.064634,2.520000
24.113448,2.520000
24.161517,2.520000
24.209306,2.520000
24.271629,2.520000
24.322077,2.520000
24.371484,2.520000
24.419885,2.520000
24.467879,2.520000
24.514581,2.520000
24.566309,2.520000
24.615408,2.520000
24.669909,2.520000
24.718077,2.520000
24.767162,2.520000
24.815239,2.520000
24.867799,2.520000
24.922375,2.520000
24.974856,2.520000
25.023520,2.520000
25.071549,2.520000
25.118862,2.520000
25.166385,2.520000
25.217522,2.520000
25.267573,2.520000
25.317738,2.520000
25.371137,2.520000
25.421676,2.520000
25.478998,2.520000
25.526865,2.520000
25.574634,2.520000
25.622887,2.520000
25.671841,2.520000
25.719988,2.520000
25.769133,2.520000
25.817438,2.520000
25.867572,2.520000
25.916887,2.520000
25.964668,2.520000
26.012320,2.520000
26.059830,2.520000
26.106953,2.520000
26.157231,2.520000
26.206893,2.520000
26.255959,2.520000
26.306015,2.520000
26.356416,2.520000
26.405598,2.520000
26.454425,2.520000
26.501922,2.520000
26.550789,2.520000
26.598776,2.520000
26.647665,2.520000
26.695452,2.520000
26.745664,2.520000
26.794373,2.520000
26.842715,2.520000
26.890426,2.520000
26.940729,2.520000
26.988857,2.520000
27.038718,2.520000
27.090055,2.520000
27.140158,2.520000
27.189412,2.520000
27.237322,2.520000
27.289084,2.520000
27.338220,2.520000
27.393060,2.520000
27.444394,2.520000
27.493866,2.520000
27.540873,2.520000
27.592785,2.520000
27.642122,2.520000
27.690368,2.520000
27.743791,2.520000
27.794131,2.520000
27.844644,2.520000
27.892384,2.520000
27.940303,2.520000
27.997766,2.520000
28.046194,2.520000
28.095426,2.520000
28.143231,2.520000
28.190211,2.520000
28.237836,2.520000
28.287871,2.520000
28.336674,2.520000
28.383775,2.520000
28.430875,2.520000
28.478541,2.520000
28.526045,2.520000
28.574157,2.520000
28.622150,2.520000
