time_s,angle_deg
0.000000,0.000000
0.186875,0.000000
0.302161,0.000000
0.393614,0.000000
0.468182,0.000000
0.526935,0.000000
0.583943,0.000000
0.704452,0.000000
0.783671,0.000000
0.871959,0.000000
0.940648,0.000000
1.012766,0.000000
1.139485,0.000000
1.213038,0.000000
1.291356,0.000000
1.353227,0.000000
1.424322,0.000000
1.480702,0.000000
1.587002,0.000000
1.644319,0.000000
1.700613,0.000000
1.757282,0.000000
1.881573,0.000000
1.975028,0.000000
2.032004,0.000000
2.089024,0.000000
2.150798,0.000000
2.207461,0.000000
2.275708,0.000000
2.331603,0.000000
2.424062,0.000000
2.479571,0.000000
2.565688,0.000000
2.622033,0.000000
2.676357,0.000000
2.743629,0.000000
2.832514,0.000000
2.887265,0.000000
2.941954,0.000000
2.996596,0.000000
3.051914,0.000000
3.106890,0.000000
3.160622,0.000000
3.214787,0.000000
3.268382,0.000000
3.322761,0.000000
3.413470,0.000000
3.469521,0.000000
3.524911,0.000000
3.609881,0.000000
3.664314,0.000000
3.719550,0.000000
3.774061,0.000000
3.828843,0.000000
3.883396,0.000000
3.939665,-0.360000
3.999424,-0.720000
4.066910,-1.080000
4.125738,-1.080000
4.184343,-0.720000
4.242475,-1.080000
4.325183,0.000000
4.396992,1.800000
4.452987,3.240000
4.508571,5.040000
4.593286,7.560000
4.691431,10.080000
4.751131,12.600000
4.814189,15.120000
4.875334,17.640000
4.935373,20.160000
4.999681,22.680000
5.060576,25.560000
5.144247,28.080000
5.202712,30.600000
5.287873,33.120000
5.395520,35.640000
5.469216,38.160000
5.527923,40.680000
5.589150,42.840000
5.690905,45.360000
5.760456,47.520000
5.824177,50.040000
5.889978,52.200000
5.954275,54.360000
6.035485,56.160000
6.132851,58.680000
6.227355,60.840000
6.397735,62.640000
6.457652,64.440000
6.518705,66.240000
6.662937,67.680000
6.743173,69.120000
6.801700,70.200000
6.862078,71.280000
6.943688,72.720000
7.011075,74.160000
7.105854,75.600000
7.218740,77.400000
7.344930,79.200000
7.428065,81.360000
7.514374,83.520000
7.574009,86.400000
7.692292,89.640000
7.904225,92.880000
7.985197,96.480000
8.059920,100.080000
8.163704,104.400000
8.235366,108.720000
8.296818,113.400000
8.354756,118.080000
8.472549,123.480000
8.533182,128.520000
8.616245,133.200000
8.711374,137.160000
8.804455,140.760000
8.917351,143.280000
8.975526,145.440000
9.033828,147.240000
9.095284,149.040000
9.156089,150.480000
9.216651,150.120000
9.306442,149.760000
9.391469,149.400000
9.486051,148.680000
9.543084,148.320000
9.605125,148.680000
9.774831,149.040000
9.985849,149.040000
10.048719,149.040000
10.158270,149.040000
10.252976,149.040000
10.331322,149.040000
10.442442,149.040000
10.529845,149.040000
10.660508,149.040000
10.802742,149.040000
10.864300,149.040000
10.928846,149.040000
10.988594,149.040000
11.049917,149.040000
11.108900,149.040000
11.170533,149.040000
11.229228,149.040000
11.287368,149.040000
11.374562,149.040000
11.475431,149.040000
11.552912,149.040000
11.617060,149.040000
11.675633,149.040000
11.738498,149.040000
11.831961,149.040000
11.952368,149.040000
12.056010,149.040000
12.202201,149.040000
12.317342,149.040000
12.475129,149.040000
12.620488,149.040000
12.695353,149.040000
12.795985,149.040000
12.934413,149.040000
13.084031,149.040000
13.176637,149.040000
13.264453,149.040000
13.418597,149.040000
13.532056,149.040000
13.619448,149.040000
13.698640,149.040000
13.766588,149.040000
13.848711,149.040000
13.943089,149.040000
14.035650,149.040000
14.134030,149.040000
14.219813,149.040000
14.331152,149.040000
14.424803,149.040000
14.534286,149.040000
14.635952,149.040000
14.697891,149.040000
14.760049,149.040000
14.844709,149.040000
14.926579,149.040000
15.031815,149.040000
15.192212,149.040000
15.264579,149.040000
15.326794,149.040000
15.384770,149.040000
15.447868,149.040000
15.511804,149.040000
15.602246,149.040000
15.685912,149.040000
15.766212,149.040000
15.843049,149.040000
15.934963,149.040000
16.066406,149.040000
16.162105,149.040000
16.284294,149.040000
16.358930,149.040000
16.446631,149.040000
16.522825,149.040000
16.619945,149.040000
16.704015,149.040000
16.794873,149.040000
16.870835,149.040000
16.994978,149.040000
17.064462,149.040000
17.179873,149.040000
17.298426,149.040000
17.389750,149.040000
17.472965,149.040000
17.656807,149.040000
17.765164,149.040000
17.832125,149.040000
17.949869,149.040000
18.058092,149.040000
18.126029,149.040000
18.203884,149.040000
18.301200,149.040000
18.380230,149.040000
18.501982,149.040000
18.593960,149.040000
18.678018,149.040000
18.743349,149.040000
18.802213,149.040000
18.860835,149.040000
18.920911,149.040000
18.979872,149.040000
19.062208,149.040000
19.177770,149.040000
19.307033,149.040000
19.418280,149.040000
19.523125,149.040000
19.639189,149.040000
19.729668,149.040000
19.826516,149.040000
19.945112,149.040000
20.018041,149.040000
20.085301,149.040000
20.185393,149.040000
20.273349,149.040000
20.408636,149.040000
20.584903,149.040000
20.700918,149.040000
20.758104,149.040000
20.915201,149.040000
21.143513,149.040000
21.384315,149.040000
21.635584,149.040000
21.881737,149.040000
22.138727,149.040000
22.370264,149.040000
22.613437,149.040000
22.851870,149.040000
23.078341,149.040000
23.302280,149.040000
23.527497,149.040000
23.747930,149.040000
23.979907,149.040000
24.231896,149.040000
24.456548,149.040000
24.696803,149.040000
24.968136,149.040000
25.247001,149.040000
25.567170,149.040000
25.883244,149.040000
26.389425,149.040000
26.701504,149.040000
26.980690,149.040000
27.269662,149.040000
