time_s,angle_deg
0.000000,15.480000
0.133238,15.480000
0.234352,15.480000
0.299779,15.480000
0.403285,15.480000
0.510753,15.480000
0.602183,15.480000
0.701416,15.480000
0.801214,15.480000
0.900523,15.840000
0.999661,18.720000
1.099520,26.640000
1.200947,39.240000
1.299528,54.000000
1.400953,68.040000
1.498698,78.840000
1.599357,84.960000
1.700442,86.400000
1.800145,82.080000
1.900037,72.360000
1.999111,59.040000
2.099645,44.640000
2.199091,31.680000
2.300185,21.960000
2.406068,17.280000
2.504156,18.720000
2.598738,25.200000
2.710604,36.360000
2.799321,50.040000
2.898483,63.720000
2.998504,75.600000
3.101088,83.160000
3.257255,85.680000
3.316332,82.800000
3.398617,74.520000
3.502896,62.640000
3.598657,48.600000
3.701224,35.280000
3.798376,24.840000
3.903316,19.080000
4.006371,19.080000
4.101096,24.120000
4.199135,34.200000
4.300436,46.800000
4.410922,60.480000
4.499155,72.360000
4.603741,81.000000
4.698940,84.240000
4.800567,83.160000
4.913034,75.960000
4.998680,64.800000
5.099300,51.840000
5.197648,38.520000
5.299438,28.080000
5.409225,21.240000
5.499038,20.160000
5.598664,24.120000
5.699088,32.760000
5.799333,44.640000
5.899286,57.600000
5.999282,69.840000
6.099563,78.840000
6.209793,83.520000
6.298757,82.800000
6.399982,77.040000
6.504292,66.960000
6.603348,54.360000
6.715187,41.760000
6.797195,30.600000
6.899664,23.040000
7.000856,20.880000
7.100195,23.760000
7.199358,31.320000
7.301935,42.120000
7.413394,55.080000
7.498781,67.320000
7.598628,77.040000
7.698957,82.080000
7.797179,82.440000
7.899250,77.760000
7.998561,68.760000
8.097726,56.880000
8.196984,44.280000
8.297248,33.120000
8.399281,24.840000
8.498247,21.600000
8.598706,23.400000
8.698418,29.880000
8.797788,40.320000
8.899187,52.560000
9.000413,64.440000
9.106672,74.160000
9.196904,80.280000
9.297509,81.360000
9.399115,77.760000
9.497532,69.480000
9.598392,58.320000
9.698192,46.080000
9.798216,34.920000
9.898029,26.280000
9.996481,22.320000
10.100872,23.760000
