time_s,angle_deg
0.000000,0.000000
0.100205,0.000000
0.199165,0.000000
0.302302,0.000000
0.398688,0.000000
0.501035,0.000000
0.602640,0.000000
0.702337,0.000000
0.802959,0.000000
0.901540,0.000000
0.998568,0.000000
1.100286,0.000000
1.198382,0.000000
1.299758,0.000000
1.401822,0.000000
1.504585,0.000000
1.598894,0.000000
1.778016,0.000000
1.858376,0.000000
1.912048,0.000000
2.000894,0.000000
2.099139,0.000000
2.203536,0.000000
2.299943,0.000000
2.397953,0.000000
2.499206,0.000000
2.599824,0.000000
2.703341,0.000000
2.801374,0.000000
2.899144,0.000000
2.999817,0.000000
3.100037,0.000000
3.200566,0.000000
3.297762,0.000000
3.401688,0.000000
3.499050,0.000000
3.600847,0.000000
3.699151,1.800000
3.802521,5.400000
3.920237,9.720000
4.000176,14.760000
4.099773,19.440000
4.198818,23.040000
4.298299,26.640000
4.403305,31.320000
4.497603,35.280000
4.603601,39.960000
4.699184,44.640000
4.797498,49.680000
4.900446,54.360000
5.003702,58.680000
5.097758,63.360000
5.201701,68.400000
5.297481,73.800000
5.401412,79.920000
5.497365,86.400000
5.602800,93.240000
5.697195,100.800000
5.798378,107.640000
5.897917,113.760000
5.998610,119.520000
6.102456,124.920000
6.212161,129.960000
6.297119,134.280000
6.397030,138.240000
6.497088,141.480000
6.596958,144.000000
6.697568,145.800000
6.800005,147.960000
6.896901,150.120000
7.000379,150.120000
7.097516,150.120000
7.199187,150.120000
7.300869,150.120000
7.398124,150.120000
7.499570,150.120000
7.601482,150.120000
7.696789,150.120000
7.800879,150.120000
7.896700,150.120000
8.002390,147.600000
8.122384,140.040000
8.197645,128.880000
8.300786,115.560000
8.396697,104.040000
8.501927,93.240000
8.601652,83.520000
8.700672,73.800000
8.796556,63.720000
8.899343,54.720000
8.996303,47.880000
9.102195,45.000000
9.196465,44.640000
9.302108,48.600000
9.396443,57.240000
9.497994,68.040000
9.599000,79.200000
9.696816,89.640000
9.800533,98.280000
9.900588,104.040000
10.000795,104.040000
10.098854,99.000000
10.201453,90.360000
10.297342,79.200000
10.398106,67.680000
10.498035,57.600000
10.599924,53.280000
10.697201,54.360000
10.800232,59.760000
10.896410,68.040000
