time_s,angle_deg
0.000000,264.240000
0.145831,264.240000
0.245740,264.240000
0.344050,264.240000
0.450753,264.240000
0.548535,264.240000
0.655464,264.240000
0.762999,264.240000
0.863246,264.240000
0.964706,264.240000
1.069325,264.240000
1.164826,264.240000
1.261005,264.240000
1.365968,264.240000
1.465139,264.240000
1.562861,264.240000
1.716793,264.240000
1.825378,264.240000
1.921896,264.240000
2.024086,264.240000
2.125247,264.240000
2.229017,264.240000
2.331341,264.240000
2.434904,264.240000
2.537237,264.240000
2.635327,264.240000
2.742100,264.240000
2.834819,264.240000
2.940838,264.240000
3.025602,264.240000
3.121833,264.240000
3.208413,264.240000
3.292671,264.240000
3.380885,264.240000
3.464589,264.240000
3.546495,264.240000
3.632062,264.240000
3.724304,264.240000
3.825115,264.240000
3.925950,264.240000
4.026860,264.240000
4.127692,263.880000
4.228816,263.880000
4.329570,263.880000
4.430339,264.240000
4.531300,264.600000
4.632241,266.040000
4.732838,268.920000
4.833516,273.240000
4.934096,278.280000
5.035079,284.040000
5.136104,289.800000
5.238503,295.200000
5.337507,300.960000
5.438484,306.720000
5.539043,313.200000
5.639914,318.960000
5.740900,324.000000
5.841692,329.040000
5.942264,334.440000
6.043112,340.200000
6.143976,345.600000
6.244967,351.000000
6.347273,355.320000
6.446111,359.640000
6.546907,4.320000
6.647703,9.360000
6.748462,15.120000
6.849261,20.520000
6.950008,25.560000
7.050868,30.600000
7.157954,35.640000
7.252188,40.680000
7.352693,45.720000
7.454592,51.480000
7.554560,57.600000
7.655348,57.600000
7.756190,57.600000
7.860040,57.240000
7.957614,54.720000
8.058358,50.040000
8.159121,44.280000
8.259924,36.720000
8.360643,28.800000
8.461276,20.520000
8.562077,11.880000
8.662848,2.880000
8.763291,352.440000
8.865280,342.000000
8.965230,331.920000
9.069169,323.280000
9.166516,314.640000
9.267534,307.440000
9.370384,300.600000
9.469103,294.840000
9.569945,290.520000
9.670715,286.920000
9.771516,284.760000
9.872374,284.760000
9.972834,284.760000
10.073487,285.840000
10.174207,287.280000
10.275742,289.800000
10.376210,293.400000
10.477511,297.360000
10.578227,300.960000
10.679079,303.840000
10.780110,306.360000
10.881011,308.160000
10.981943,309.600000
11.082662,311.040000
11.183574,311.760000
11.284333,312.840000
11.385228,314.640000
11.486059,317.520000
11.587016,321.120000
11.687716,324.000000
11.788629,325.800000
11.889483,326.880000
11.990121,328.320000
12.090944,330.120000
12.191777,331.920000
12.292652,334.080000
12.393569,336.960000
12.494476,340.200000
12.595272,343.080000
12.696004,345.240000
12.796998,347.040000
12.898017,347.040000
12.998479,342.720000
13.099329,335.160000
13.200109,326.880000
13.301048,318.600000
13.401737,311.760000
13.502483,307.080000
13.603365,304.200000
13.704177,302.400000
13.805058,301.320000
13.910400,300.240000
14.006937,299.520000
14.107814,298.800000
14.208544,298.440000
14.309342,298.440000
14.410153,298.440000
14.511081,297.720000
14.612331,297.000000
14.712644,295.200000
14.813549,292.680000
14.914399,289.440000
15.014970,286.560000
15.115996,283.680000
15.216765,280.800000
15.317339,277.200000
15.418056,273.240000
15.518625,270.000000
15.619331,267.480000
15.720097,264.600000
15.820837,262.800000
15.921416,262.440000
16.022435,262.440000
16.123163,262.440000
16.224128,262.080000
16.324926,263.880000
16.425607,268.920000
16.526303,276.840000
16.627098,286.560000
16.727555,296.280000
16.828339,305.280000
16.929278,312.480000
17.030149,317.880000
17.131033,321.840000
17.231888,324.360000
17.332526,325.800000
17.433316,327.240000
17.534352,329.760000
17.636223,331.560000
17.735593,332.640000
17.836281,334.080000
17.936983,335.520000
18.037911,337.320000
18.138946,339.480000
18.239533,341.280000
18.340474,342.360000
18.441159,343.440000
18.542064,344.160000
18.642869,344.880000
18.743783,345.600000
18.844218,347.040000
18.945659,348.840000
19.045560,349.920000
19.146296,351.000000
19.253266,352.440000
19.347825,353.520000
19.448520,354.240000
19.549906,354.960000
19.649741,355.320000
19.750459,356.040000
19.851142,356.400000
19.951846,357.120000
20.052857,357.840000
20.153646,358.560000
20.254577,358.920000
20.355308,359.640000
20.456044,0.000000
20.557029,0.360000
20.658153,0.720000
20.758901,1.080000
20.859660,1.440000
20.960425,1.440000
21.061096,1.080000
21.161929,0.720000
21.262940,0.360000
21.363957,0.000000
21.464802,359.280000
21.565806,358.560000
21.666521,357.480000
21.767549,357.120000
21.868385,357.120000
21.969228,357.120000
22.068312,356.760000
22.169124,356.400000
22.269938,356.040000
22.370858,355.320000
22.482599,354.960000
22.572160,354.240000
22.672914,353.520000
22.773741,352.080000
22.874251,352.080000
22.975097,352.440000
23.076322,352.080000
23.176730,352.440000
23.277447,354.240000
23.378172,356.040000
23.479950,356.400000
23.580232,356.040000
23.680741,356.400000
23.781416,357.840000
23.882185,359.280000
23.982775,359.640000
24.083533,358.560000
24.184341,358.560000
24.285164,358.920000
24.386022,358.920000
24.486962,358.560000
24.587748,358.200000
24.689004,357.840000
24.789512,356.400000
24.890395,354.600000
24.991181,352.440000
25.092079,351.000000
25.193035,349.920000
25.293780,350.280000
25.394491,351.360000
25.495403,353.160000
25.596081,353.520000
25.696892,353.160000
25.797507,352.800000
25.898503,353.160000
25.999707,353.160000
26.100619,352.440000
26.201342,351.360000
26.302213,350.640000
26.402996,350.280000
26.503898,350.640000
26.604700,350.640000
26.705416,350.280000
26.806315,350.280000
26.909073,349.920000
27.007902,350.280000
27.108663,350.280000
27.209255,349.920000
27.310418,349.560000
27.411328,349.560000
27.511974,349.560000
27.613000,349.560000
27.713789,349.560000
27.814485,349.560000
27.915021,349.560000
28.015929,349.560000
28.116839,349.560000
28.216020,349.920000
28.317221,350.280000
28.417870,350.280000
28.518656,350.280000
28.619281,350.280000
28.720057,350.280000
28.820835,350.640000
28.921629,350.640000
29.022377,350.280000
29.122942,349.920000
29.223839,349.560000
29.324798,349.920000
29.425365,350.280000
29.526101,349.920000
29.626628,349.920000
29.727509,349.560000
29.828115,349.560000
29.928886,349.560000
30.029718,349.560000
