time_s,angle_deg
0.000000,-11.880000
0.101177,-11.880000
0.204488,-11.880000
0.302277,-11.880000
0.402784,-11.880000
0.504147,-11.880000
0.604351,-11.880000
0.705869,-11.880000
0.807478,-11.880000
0.908208,-11.880000
1.008306,-11.880000
1.110272,-11.880000
1.210706,-11.880000
1.310156,-11.880000
1.413259,-11.880000
1.511738,-11.880000
1.612717,-11.880000
1.819806,-11.880000
1.869130,-11.880000
1.917369,-11.880000
2.016465,-11.880000
2.115734,-11.880000
2.217698,-11.880000
2.317886,-11.880000
2.417428,-11.880000
2.519923,-11.880000
2.619762,-11.880000
2.721793,-11.880000
2.821360,-11.880000
2.924465,-11.880000
3.024154,-11.880000
3.123680,-11.880000
3.227110,-11.880000
3.325374,-11.880000
3.425894,-11.880000
3.528695,-11.880000
3.628128,-11.880000
3.729401,-11.880000
3.828497,-11.880000
3.930458,-11.880000
4.030562,-11.520000
4.131292,-10.800000
4.231462,-9.360000
4.333894,-7.560000
4.431950,-5.040000
4.533141,-2.160000
4.633126,1.440000
4.733480,5.760000
4.835399,10.080000
4.933517,14.040000
5.037846,18.360000
5.136232,21.960000
5.236665,25.920000
5.338700,29.520000
5.438181,33.480000
5.540649,37.800000
5.640061,42.840000
5.741184,47.880000
5.843018,52.560000
5.943076,57.240000
6.044061,62.280000
6.146089,66.960000
6.245983,72.000000
6.346587,76.680000
6.447603,82.080000
6.550386,88.560000
6.654583,95.040000
6.750381,100.800000
6.854106,105.480000
6.952722,109.440000
7.057630,113.400000
7.154270,117.360000
7.254703,120.960000
7.355728,124.560000
7.456658,127.440000
7.555027,129.960000
7.661015,132.480000
7.759191,135.000000
7.857107,137.160000
7.958468,138.960000
8.059446,140.760000
8.160243,141.480000
8.261415,141.840000
8.363155,141.840000
8.462996,141.840000
8.565175,141.480000
8.665027,141.480000
8.766434,141.480000
8.867385,141.480000
8.968138,141.480000
9.069043,141.480000
9.170233,141.480000
9.270641,141.480000
9.370747,141.480000
9.468547,141.480000
9.572389,141.480000
9.672231,141.480000
9.770769,141.480000
9.874622,141.480000
9.972264,141.480000
10.073880,141.480000
10.175570,141.480000
10.274542,141.480000
10.375844,141.480000
10.475871,141.480000
10.578571,141.480000
10.676679,141.480000
10.779426,141.480000
10.879340,141.480000
10.979339,141.480000
11.080188,141.480000
11.180238,141.480000
11.283237,141.480000
11.381470,141.480000
11.482170,141.480000
11.583554,141.480000
11.684405,141.480000
11.784288,141.480000
11.884196,141.480000
11.990452,141.480000
12.085900,141.480000
12.188159,141.480000
12.287441,141.480000
12.388600,141.480000
12.490604,141.480000
12.589116,141.480000
12.690520,141.480000
12.794578,141.480000
12.891552,141.480000
12.993146,141.480000
13.093484,141.480000
13.193092,141.480000
13.293124,141.480000
13.395704,141.480000
13.495212,141.480000
13.597323,141.480000
13.695677,141.480000
13.800266,141.480000
13.897243,141.480000
13.998450,141.480000
14.102120,141.480000
14.198899,141.480000
14.302714,141.480000
14.401314,141.480000
14.501753,141.480000
14.602589,141.480000
14.702031,141.480000
14.803779,141.480000
14.905141,141.120000
15.005188,140.400000
15.108564,138.960000
15.206699,136.800000
15.307586,133.920000
15.407945,131.400000
15.508189,128.880000
15.609438,126.360000
15.712106,123.840000
15.812685,121.320000
15.915040,117.720000
16.012757,113.760000
16.115309,108.000000
16.214132,101.880000
16.319026,96.480000
16.416550,91.800000
16.517690,88.200000
16.617987,84.600000
16.718435,80.280000
16.821810,75.600000
16.920745,69.840000
17.021248,63.720000
17.123990,57.600000
17.220863,51.840000
17.322617,46.440000
17.423380,41.040000
