frame_idx,t_sec,dt_cumavg_ms,motor_encoders_FL,motor_encoders_FR,motor_encoders_BL,motor_encoders_BR,motor_speeds_FL,motor_speeds_FR,motor_speeds_BL,motor_speeds_BR,pid_outputs_FL,pid_outputs_FR,pid_outputs_BL,pid_outputs_BR,desired_speed,actual_speed_fl,raw_v1_fl,estimated_velocity,kalman_v_pred,pendulum_angle_deg,lqr_force,kalman_theta_rad,kalman_v,kalman_x,x_ref,theta_ref_deg,sprint_active,pwm
1,19.122280699957628,0.001,-0.002,-0.003,-0.004,-0.003,0.0,0.0,0.0,0.0,-128.0,-128.0,-128.0,-128.0,-0.0,0.0,0.0,0.0,0.0,-14.22,-15.627,-0.247,0.0,-0.003,0.0,0.0,0,-0.128
2,19.234460899955593,2.139,-0.017,-0.019,-0.019,-0.023,-0.308,-0.331,-0.355,-0.521,-830.0,-830.0,-830.0,-830.0,-0.986,-0.308,-0.236,-0.379,-0.382,-13.95,-15.627,-0.237,-0.379,-0.019,0.0,0.0,0,-0.83
3,19.33079199999338,2.138,-0.092,-0.093,-0.104,-0.125,-1.017,-0.97,-1.017,-0.97,-589.0,-683.0,-460.0,-652.0,-1.25,-1.017,-0.947,-0.996,-1.009,-9.81,-15.627,-0.164,-0.996,-0.103,0.0,0.0,0,-0.589
4,19.439669399987906,2.139,-0.207,-0.206,-0.217,-0.239,-1.183,-1.183,-1.112,-1.112,-226.0,-109.0,-359.0,-337.0,-1.23,-1.183,-1.184,-1.147,-1.14,-2.43,0.609,-0.036,-1.147,-0.217,0.0,0.0,0,-0.226
5,19.538792699982878,2.148,-0.311,-0.31,-0.325,-0.345,-0.853,-0.901,-0.924,-0.901,-108.0,43.0,223.0,196.0,-0.815,-0.853,-0.711,-0.894,-0.891,3.96,10.736,0.07,-0.894,-0.323,0.0,0.0,0,-0.108
6,19.63263329997426,2.15,-0.367,-0.365,-0.383,-0.401,-0.332,-0.356,-0.379,-0.379,-42.0,181.0,244.0,144.0,-0.255,-0.332,-0.237,-0.362,-0.364,6.3,7.744,0.109,-0.362,-0.379,0.0,0.0,0,-0.042
7,19.72705029998906,2.157,-0.387,-0.383,-0.401,-0.419,-0.166,-0.213,-0.142,-0.213,-111.0,40.0,-145.0,193.0,-0.154,-0.166,-0.237,-0.183,-0.179,5.04,-1.853,0.088,-0.183,-0.397,0.0,0.0,0,-0.111
8,19.833886999986134,2.149,-0.399,-0.394,-0.414,-0.432,0.0,-0.095,-0.142,-0.095,32.0,100.0,329.0,253.0,-0.011,0.0,-0.237,-0.081,-0.063,4.5,-0.844,0.078,-0.081,-0.409,0.0,0.0,0,0.032
9,19.927807200001553,2.151,-0.4,-0.395,-0.412,-0.432,0.0,0.047,0.047,-0.024,-35.0,-370.0,-235.0,-74.0,0.026,0.0,0.0,0.015,-0.004,3.24,4.046,0.057,0.015,-0.41,0.0,0.0,0,-0.035
10,20.032560999970883,2.149,-0.4,-0.398,-0.415,-0.432,0.024,-0.047,0.024,0.0,-116.0,202.0,-102.0,-154.0,0.017,0.024,0.0,0.0,0.003,2.79,1.49,0.048,0.0,-0.411,0.0,0.0,0,-0.116
11,20.13941139995586,2.153,-0.402,-0.399,-0.416,-0.434,0.0,-0.047,0.047,0.024,195.0,289.0,-64.0,300.0,0.116,0.0,0.0,0.006,0.008,3.06,1.772,0.052,0.006,-0.413,0.0,0.0,0,0.195
12,20.230408300005365,2.148,-0.39,-0.385,-0.405,-0.422,0.19,0.213,0.166,0.19,117.0,-109.0,179.0,151.0,0.265,0.19,0.0,0.189,0.184,2.34,0.802,0.041,0.189,-0.401,0.0,0.0,0,0.117
13,20.319669499993324,2.144,-0.37,-0.364,-0.384,-0.401,0.142,0.332,0.19,0.261,126.0,-314.0,45.0,-137.0,0.214,0.142,0.237,0.232,0.235,1.08,2.469,0.02,0.232,-0.38,0.0,0.0,0,0.126
14,20.433119099994656,2.137,-0.359,-0.356,-0.373,-0.391,0.047,0.047,0.071,0.071,49.0,286.0,133.0,154.0,0.142,0.047,0.237,0.06,0.063,1.26,1.286,0.021,0.06,-0.37,0.0,0.0,0,0.049
