frame_idx,t_sec,dt_cumavg_ms,motor_encoders_FL,motor_encoders_FR,motor_encoders_BL,motor_encoders_BR,motor_speeds_FL,motor_speeds_FR,motor_speeds_BL,motor_speeds_BR,pid_outputs_FL,pid_outputs_FR,pid_outputs_BL,pid_outputs_BR,desired_speed,actual_speed_fl,raw_v1_fl,estimated_velocity,kalman_v_pred,pendulum_angle_deg,lqr_force,kalman_theta_rad,kalman_v,kalman_x,x_ref,theta_ref_deg,sprint_active,pwm
44,2.307415099989157,2.903,0.02,0.019,0.02,0.019,0.024,0.064,0.056,0.041,133.0,249.0,0.0,-120.0,0.067,0.024,0.0,0.047,0.049,0.18,1.598,0.003,0.047,0.019,0.0,0.0,0,0.133
45,2.311932999989949,2.903,0.02,0.018,0.02,0.02,0.009,-0.08,0.056,0.097,125.0,420.0,0.0,-231.0,0.059,0.009,0.0,0.02,0.018,0.18,-1.944,0.002,0.02,0.02,0.0,0.0,0,0.125
46,2.326874599966686,2.901,0.021,0.018,0.02,0.02,0.018,-0.065,0.009,0.08,108.0,156.0,125.0,-77.0,0.052,0.018,0.0,0.009,0.003,0.18,0.162,0.002,0.009,0.02,0.0,0.0,0,0.108
47,2.3445384999504313,2.901,0.021,0.019,0.02,0.02,0.017,0.047,0.0,0.024,132.0,-221.0,166.0,117.0,0.058,0.017,0.0,0.021,0.011,0.18,2.159,0.002,0.021,0.02,0.0,0.0,0,0.132
48,2.348887800006196,2.899,0.022,0.021,0.022,0.02,0.017,0.169,0.056,-0.009,186.0,-294.0,-71.0,236.0,0.078,0.017,0.0,0.057,0.05,0.18,4.196,0.002,0.057,0.021,0.0,0.0,0,0.186
49,2.366437599994242,2.898,0.023,0.022,0.022,0.021,0.041,0.121,0.065,0.038,-36.0,99.0,93.0,-32.0,0.088,0.041,0.237,0.066,0.062,0.18,1.357,0.002,0.066,0.022,0.0,0.0,0,-0.036
50,2.37086729996372,2.897,0.023,0.021,0.023,0.023,0.056,0.047,0.089,0.136,126.0,260.0,-119.0,-214.0,0.093,0.056,0.0,0.081,0.076,0.18,1.929,0.001,0.081,0.023,0.0,0.0,0,0.126
51,2.387462999962736,2.897,0.024,0.022,0.024,0.024,0.071,0.023,0.056,0.145,80.0,174.0,108.0,-130.0,0.091,0.071,0.0,0.074,0.073,0.09,0.109,0.001,0.074,0.023,0.0,0.0,0,0.08
52,2.391601199982688,2.896,0.024,0.025,0.025,0.025,0.047,0.129,0.08,0.103,160.0,-183.0,93.0,162.0,0.101,0.047,0.0,0.09,0.092,0.09,1.877,0.0,0.09,0.024,0.0,0.0,0,0.16
53,2.4080026999581605,2.894,0.024,0.026,0.026,0.024,0.024,0.145,0.089,0.024,172.0,-131.0,-139.0,286.0,0.093,0.024,0.237,0.07,0.068,0.0,-1.17,-0.0,0.07,0.025,0.0,0.0,0,0.172
54,2.4137345000053756,2.893,0.027,0.026,0.027,0.025,0.112,0.071,0.089,0.009,-177.0,199.0,44.0,203.0,0.09,0.112,0.237,0.07,0.07,0.0,0.459,-0.001,0.07,0.026,0.0,0.0,0,-0.177
55,2.4333576999488287,2.892,0.027,0.026,0.027,0.027,0.13,0.024,0.08,0.097,-87.0,182.0,70.0,-144.0,0.091,0.13,0.0,0.082,0.076,-0.09,1.306,-0.002,0.082,0.027,0.0,0.0,0,-0.087
56,2.437789999996312,2.893,0.028,0.027,0.028,0.029,0.097,0.047,0.079,0.152,33.0,-47.0,-111.0,-141.0,0.091,0.097,0.237,0.092,0.081,-0.18,0.554,-0.003,0.092,0.028,0.0,0.0,0,0.033
57,2.45432229997823,2.893,0.029,0.029,0.029,0.03,0.056,0.159,0.111,0.12,118.0,-387.0,-173.0,104.0,0.089,0.056,0.0,0.11,0.098,-0.27,1.43,-0.004,0.11,0.029,0.0,0.0,0,0.118
58,2.45887579995906,2.893,0.029,0.03,0.03,0.03,0.071,0.153,0.112,0.064,50.0,-56.0,-211.0,59.0,0.082,0.071,0.0,0.1,0.098,-0.36,-2.028,-0.006,0.1,0.03,0.0,0.0,0,0.05
59,2.477481199952308,2.893,0.03,0.03,0.03,0.031,0.056,0.088,0.056,0.041,-47.0,63.0,128.0,38.0,0.058,0.056,0.0,0.061,0.066,-0.45,-5.337,-0.007,0.061,0.031,0.0,0.0,0,-0.047
60,2.4841850999509916,2.893,0.03,0.03,0.03,0.031,0.017,-0.024,0.0,0.008,129.0,88.0,42.0,-36.0,0.02,0.017,0.0,0.0,-0.003,-0.54,-6.115,-0.009,0.0,0.031,0.0,0.0,0,0.129
61,2.505394699983299,2.894,0.031,0.031,0.031,0.032,0.04,0.008,0.008,0.032,-181.0,-119.0,60.0,-49.0,0.017,0.04,0.237,0.021,0.009,-0.63,0.319,-0.01,0.021,0.031,0.0,0.0,0,-0.181
62,2.516252200002782,2.894,0.032,0.032,0.032,0.032,0.064,0.088,0.072,0.032,-79.0,-366.0,-215.0,40.0,0.027,0.064,0.0,0.062,0.047,-0.72,2.236,-0.011,0.062,0.032,0.0,0.0,0,-0.079
63,2.520623099990189,2.895,0.032,0.033,0.033,0.032,0.056,0.103,0.072,0.024,-95.0,-193.0,47.0,143.0,0.024,0.056,0.0,0.065,0.075,-0.72,-2.256,-0.012,0.065,0.033,0.0,0.0,0,-0.095
64,2.5379119999706745,2.895,0.032,0.031,0.032,0.032,0.0,-0.008,-0.0,0.024,110.0,243.0,109.0,-118.0,-0.002,0.0,0.0,0.006,0.022,-0.72,-7.159,-0.012,0.006,0.032,0.0,0.0,0,0.11
65,2.5428920999984257,2.895,0.033,0.03,0.031,0.032,0.024,-0.088,-0.041,0.0,-122.0,276.0,63.0,99.0,-0.019,0.024,0.0,-0.025,-0.017,-0.63,-2.966,-0.012,-0.025,0.032,0.0,0.0,0,-0.122
66,2.562204899964854,2.896,0.033,0.031,0.031,0.032,0.024,-0.024,-0.056,-0.024,-88.0,-231.0,129.0,63.0,-0.018,0.024,0.0,-0.021,-0.032,-0.54,2.513,-0.01,-0.021,0.032,0.0,0.0,0,-0.088
67,2.5677876999834552,2.896,0.031,0.033,0.032,0.032,-0.041,0.064,0.024,-0.024,261.0,-126.0,-45.0,106.0,0.001,-0.041,0.0,0.007,0.017,-0.45,3.115,-0.009,0.007,0.032,0.0,0.0,0,0.261
68,2.586239999975078,2.903,0.031,0.033,0.033,0.033,-0.041,0.08,0.039,0.008,163.0,-98.0,-56.0,-114.0,0.014,-0.041,0.0,0.021,0.02,-0.36,2.253,-0.008,0.021,0.032,0.0,0.0,0,0.163
69,2.591408299980685,2.902,0.031,0.031,0.032,0.033,-0.024,-0.017,0.006,0.04,-1.0,257.0,169.0,-78.0,0.016,-0.024,0.0,0.002,0.011,-0.36,-1.4,-0.007,0.002,0.032,0.0,0.0,0,-0.001
70,2.6104691999498755,2.902,0.033,0.029,0.031,0.033,0.064,-0.105,-0.056,0.009,-246.0,269.0,246.0,77.0,0.012,0.064,0.237,-0.022,-0.023,-0.27,-0.493,-0.006,-0.022,0.032,0.0,0.0,0,-0.246
71,2.616200899996329,2.908,0.033,0.03,0.031,0.031,0.064,-0.064,-0.055,-0.078,-114.0,115.0,139.0,388.0,0.015,0.064,0.0,-0.033,-0.03,-0.18,0.508,-0.004,-0.033,0.031,0.0,0.0,0,-0.114
72,2.6200849000015296,2.913,0.033,0.032,0.032,0.031,0.057,0.046,0.0,-0.078,-34.0,-250.0,-40.0,293.0,0.033,0.057,0.0,0.004,-0.008,-0.18,5.142,-0.003,0.004,0.031,0.0,0.0,0,-0.034
73,2.637491300003603,2.913,0.032,0.033,0.033,0.032,-0.04,0.103,0.064,-0.031,373.0,-91.0,47.0,236.0,0.057,-0.04,0.0,0.026,0.036,0.0,3.288,-0.002,0.026,0.032,0.0,0.0,0,0.373
74,2.6422011999529786,2.914,0.032,0.032,0.033,0.034,-0.008,0.04,0.064,0.111,179.0,313.0,110.0,-201.0,0.072,-0.008,0.0,0.053,0.059,-0.09,2.443,-0.002,0.053,0.033,0.0,0.0,0,0.179
75,2.6594101999653503,2.913,0.035,0.032,0.034,0.035,0.097,-0.047,0.024,0.096,-295.0,288.0,147.0,119.0,0.074,0.097,0.237,0.042,0.037,0.0,0.863,-0.001,0.042,0.033,0.0,0.0,0,-0.295
76,2.665729400003329,2.914,0.035,0.033,0.035,0.035,0.121,0.0,0.056,0.064,-207.0,94.0,102.0,200.0,0.08,0.121,0.237,0.06,0.055,-0.09,1.82,-0.002,0.06,0.034,0.0,0.0,0,-0.207
77,2.6870953000034206,2.915,0.036,0.035,0.035,0.036,0.079,0.134,0.087,0.04,77.0,-330.0,-117.0,154.0,0.086,0.079,0.237,0.083,0.069,-0.09,3.42,-0.002,0.083,0.035,0.0,0.0,0,0.077
78,2.6939838999533094,2.924,0.037,0.036,0.036,0.037,0.085,0.147,0.062,0.044,-139.0,-144.0,127.0,160.0,0.088,0.085,0.237,0.084,0.083,-0.18,-1.139,-0.003,0.084,0.036,0.0,0.0,0,-0.139
79,2.716050399991218,2.924,0.038,0.035,0.037,0.038,0.086,0.06,0.062,0.092,-125.0,144.0,-77.0,-139.0,0.078,0.086,0.237,0.074,0.064,-0.27,-2.017,-0.005,0.074,0.037,0.0,0.0,0,-0.125
80,2.724209299951326,2.923,0.037,0.035,0.038,0.039,0.032,-0.056,0.064,0.079,206.0,295.0,-154.0,-36.0,0.056,0.032,-0.237,0.03,0.034,-0.36,-5.401,-0.006,0.03,0.037,0.0,0.0,0,0.206
81,2.728317999979481,2.923,0.038,0.035,0.038,0.039,0.024,-0.008,0.056,0.056,96.0,43.0,32.0,149.0,0.052,0.024,0.0,0.032,0.031,-0.36,-0.252,-0.006,0.032,0.038,0.0,0.0,0,0.096
82,2.7477178999688476,2.923,0.039,0.037,0.037,0.039,0.032,0.112,0.0,0.008,76.0,-378.0,140.0,240.0,0.05,0.032,0.0,0.037,0.03,-0.45,-0.355,-0.007,0.037,0.038,0.0,0.0,0,0.076
83,2.761612799949944,2.923,0.039,0.038,0.038,0.041,0.064,0.105,0.008,0.056,38.0,75.0,150.0,-125.0,0.06,0.064,0.0,0.059,0.06,-0.45,0.945,-0.008,0.059,0.039,0.0,0.0,0,0.038
84,2.7703983999672346,2.922,0.04,0.037,0.04,0.042,0.056,-0.007,0.073,0.088,-149.0,391.0,-182.0,-97.0,0.054,0.056,0.237,0.052,0.05,-0.54,-1.336,-0.008,0.052,0.04,0.0,0.0,0,-0.149
85,2.7912023999961093,2.928,0.04,0.037,0.04,0.042,0.047,-0.055,0.072,0.08,60.0,306.0,-48.0,-67.0,0.043,0.047,0.0,0.037,0.045,-0.54,-2.561,-0.009,0.037,0.04,0.0,0.0,0,0.06
86,2.8057572999969125,2.928,0.04,0.037,0.039,0.041,0.047,-0.046,-0.001,-0.0,-87.0,161.0,154.0,106.0,0.025,0.047,0.0,0.0,0.003,-0.54,-3.972,-0.009,0.0,0.04,0.0,0.0,0,-0.087
87,2.8114388999529183,2.928,0.04,0.039,0.039,0.041,0.024,0.072,-0.032,-0.032,69.0,-241.0,218.0,178.0,0.032,0.024,0.0,0.007,0.003,-0.45,1.771,-0.008,0.007,0.04,0.0,0.0,0,0.069
88,2.815210599976126,2.935,0.04,0.041,0.04,0.042,0.017,0.107,0.007,0.005,-52.0,-191.0,106.0,0.0,0.045,0.017,0.237,0.032,0.019,-0.36,4.383,-0.007,0.032,0.04,0.0,0.0,0,-0.052
89,2.8189274999895133,2.941,0.04,0.042,0.042,0.043,0.017,0.114,0.051,0.042,161.0,-93.0,94.0,109.0,0.065,0.017,0.0,0.057,0.061,-0.27,3.557,-0.006,0.057,0.041,0.0,0.0,0,0.161
90,2.8346443999907933,2.939,0.041,0.04,0.042,0.043,0.041,-0.015,0.051,0.051,88.0,435.0,68.0,65.0,0.065,0.041,0.0,0.034,0.045,-0.18,-0.731,-0.005,0.034,0.042,0.0,0.0,0,0.088
91,2.8421231999527663,2.939,0.041,0.039,0.042,0.044,0.032,-0.097,0.008,0.008,81.0,493.0,234.0,196.0,0.059,0.032,0.0,-0.01,0.004,-0.09,-2.661,-0.004,-0.01,0.042,0.0,0.0,0,0.081
92,2.8522132999496534,2.945,0.042,0.04,0.043,0.044,0.039,-0.049,0.039,0.032,150.0,120.0,32.0,43.0,0.075,0.039,0.0,0.013,-0.004,0.0,5.62,-0.003,0.013,0.042,0.0,0.0,0,0.15
93,2.881440399971325,2.945,0.044,0.042,0.043,0.044,0.07,0.094,0.031,0.047,197.0,-108.0,277.0,241.0,0.107,0.07,0.0,0.061,0.066,0.0,5.959,-0.001,0.061,0.043,0.0,0.0,0,0.197
94,2.8913379999576136,2.952,0.044,0.044,0.044,0.045,0.084,0.161,0.061,0.054,148.0,-184.0,195.0,205.0,0.125,0.084,0.0,0.09,0.087,0.0,3.412,-0.001,0.09,0.044,0.0,0.0,0,0.148
95,2.90363499999512,2.956,0.045,0.044,0.045,0.046,0.108,0.131,0.061,0.061,101.0,175.0,195.0,311.0,0.133,0.108,0.0,0.092,0.105,0.0,0.836,-0.001,0.092,0.045,0.0,0.0,0,0.101
96,2.908461199956946,2.96,0.046,0.044,0.046,0.047,0.075,0.06,0.092,0.069,260.0,292.0,110.0,273.0,0.128,0.075,0.0,0.076,0.092,0.0,-1.538,-0.001,0.076,0.046,0.0,0.0,0,0.26
97,2.9122743000043556,2.959,0.048,0.044,0.047,0.048,0.103,0.04,0.103,0.103,126.0,135.0,128.0,125.0,0.135,0.103,0.0,0.087,0.082,0.0,2.568,-0.002,0.087,0.047,0.0,0.0,0,0.126
98,2.916038099967409,2.963,0.049,0.047,0.049,0.05,0.111,0.11,0.111,0.111,129.0,-45.0,131.0,128.0,0.145,0.111,0.0,0.11,0.106,-0.09,2.191,-0.002,0.11,0.048,0.0,0.0,0,0.129
99,2.9325437999796122,2.962,0.051,0.051,0.051,0.052,0.128,0.233,0.128,0.128,114.0,-241.0,116.0,113.0,0.167,0.128,0.237,0.153,0.146,-0.18,3.439,-0.004,0.153,0.05,0.0,0.0,0,0.114
100,2.9365400999668054,2.961,0.053,0.052,0.053,0.053,0.154,0.204,0.169,0.154,53.0,-69.0,-34.0,171.0,0.177,0.154,0.237,0.17,0.17,-0.27,0.521,-0.005,0.17,0.053,0.0,0.0,0,0.053
101,2.9540613999706693,2.96,0.055,0.053,0.054,0.055,0.152,0.12,0.191,0.152,175.0,121.0,-197.0,55.0,0.165,0.152,0.0,0.154,0.152,-0.36,-2.337,-0.007,0.154,0.055,0.0,0.0,0,0.175
102,2.9599488999811,2.96,0.057,0.054,0.057,0.057,0.159,0.087,0.199,0.167,0.0,175.0,-106.0,-45.0,0.155,0.159,0.237,0.153,0.15,-0.54,-1.201,-0.009,0.153,0.056,0.0,0.0,0,0.0
103,2.9809034999925643,2.96,0.059,0.056,0.059,0.059,0.159,0.119,0.174,0.166,128.0,-87.0,98.0,-66.0,0.147,0.159,0.0,0.155,0.159,-0.72,-2.141,-0.012,0.155,0.058,0.0,0.0,0,0.128
104,2.98725809995085,2.963,0.061,0.059,0.059,0.061,0.158,0.166,0.142,0.174,127.0,-144.0,120.0,-45.0,0.144,0.158,0.0,0.161,0.167,-0.81,-1.851,-0.014,0.161,0.06,0.0,0.0,0,0.127
105,3.011538999970071,2.963,0.063,0.062,0.061,0.062,0.167,0.222,0.135,0.119,-146.0,-254.0,-79.0,128.0,0.129,0.167,0.237,0.16,0.155,-1.08,-3.045,-0.016,0.16,0.062,0.0,0.0,0,-0.146
106,3.023577199957799,2.966,0.065,0.062,0.064,0.063,0.159,0.206,0.181,0.134,-222.0,-79.0,-384.0,-55.0,0.117,0.159,0.237,0.168,0.154,-1.17,-1.147,-0.019,0.168,0.064,0.0,0.0,0,-0.222
107,3.034299499995541,2.97,0.067,0.062,0.066,0.065,0.173,0.104,0.243,0.14,-306.0,250.0,-443.0,-240.0,0.098,0.173,0.237,0.164,0.154,-1.35,-3.477,-0.021,0.164,0.065,0.0,0.0,0,-0.306
108,3.0412691999808885,2.973,0.068,0.062,0.066,0.066,0.156,0.055,0.187,0.116,-116.0,147.0,-177.0,-154.0,0.068,0.156,0.0,0.13,0.14,-1.44,-6.814,-0.023,0.13,0.066,0.0,0.0,0,-0.116
109,3.046395199955441,2.977,0.068,0.064,0.066,0.066,0.124,0.038,0.109,0.084,-249.0,104.0,-100.0,-50.0,0.032,0.124,0.0,0.09,0.099,-1.62,-7.773,-0.026,0.09,0.067,0.0,0.0,0,-0.249
110,3.053630599984899,2.98,0.068,0.065,0.066,0.066,0.062,0.077,0.04,0.039,-64.0,-329.0,-138.0,-135.0,-0.002,0.062,0.0,0.054,0.047,-1.71,-6.019,-0.027,0.054,0.067,0.0,0.0,0,-0.064
