frame_idx,t_sec,dt_cumavg_ms,motor_encoders_FL,motor_encoders_FR,motor_encoders_BL,motor_encoders_BR,motor_speeds_FL,motor_speeds_FR,motor_speeds_BL,motor_speeds_BR,pid_outputs_FL,pid_outputs_FR,pid_outputs_BL,pid_outputs_BR,desired_speed,actual_speed_fl,raw_v1_fl,estimated_velocity,kalman_v_pred,pendulum_angle_deg,lqr_force,kalman_theta_rad,kalman_v,kalman_x,x_ref,theta_ref_deg,sprint_active,pwm
1,1.8188163999584503,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0,128.0,128.0,0.0,0.0,0.0,-0.0,0.0,1.35,15.627,0.023,-0.0,0.0,0.0,0.0,0,0.128
2,1.8306407000054605,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,147.0,147.0,0.049,0.0,0.0,0.001,0.009,1.35,3.109,0.023,0.001,-0.0,0.0,0.0,0,0.147
3,1.8348541999584995,2.821,0.0,0.0,0.001,0.001,0.024,0.024,0.032,0.056,139.0,139.0,122.0,-103.0,0.065,0.024,0.0,0.034,0.032,1.35,4.142,0.022,0.034,0.001,0.0,0.0,0,0.139
4,1.8502997999894433,3.0,0.001,0.001,0.001,0.001,0.055,0.055,0.032,0.056,97.0,-81.0,142.0,94.0,0.077,0.055,0.0,0.049,0.046,1.35,3.481,0.022,0.049,0.001,0.0,0.0,0,0.097
5,1.855755299970042,2.986,0.002,0.001,0.001,0.002,0.078,0.055,0.032,0.056,-89.0,137.0,225.0,177.0,0.096,0.078,0.237,0.055,0.058,1.35,3.546,0.021,0.055,0.002,0.0,0.0,0,-0.089
6,1.8722049999632873,2.987,0.002,0.001,0.002,0.002,0.047,0.024,0.04,0.016,157.0,205.0,-41.0,183.0,0.091,0.047,0.0,0.031,0.029,1.26,0.234,0.02,0.031,0.002,0.0,0.0,0,0.157
7,1.8888565999804996,2.962,0.003,0.002,0.003,0.003,0.056,0.024,0.055,0.017,0.0,214.0,32.0,228.0,0.103,0.056,0.237,0.037,0.029,1.26,3.727,0.02,0.037,0.002,0.0,0.0,0,0.0
8,1.8944271999644116,2.954,0.003,0.003,0.003,0.004,0.056,0.056,0.071,0.041,174.0,56.0,144.0,205.0,0.116,0.056,0.0,0.056,0.053,1.17,3.254,0.019,0.056,0.003,0.0,0.0,0,0.174
9,1.9110650999937207,2.996,0.004,0.004,0.004,0.004,0.055,0.087,0.055,0.04,228.0,-57.0,185.0,259.0,0.127,0.055,0.0,0.059,0.061,1.08,1.209,0.018,0.059,0.004,0.0,0.0,0,0.228
10,1.9163584999623708,2.981,0.005,0.005,0.005,0.005,0.049,0.111,0.064,0.064,229.0,-1.0,199.0,242.0,0.139,0.049,0.0,0.072,0.074,1.08,2.2,0.017,0.072,0.005,0.0,0.0,0,0.229
11,1.932194699998945,3.014,0.006,0.005,0.006,0.007,0.04,0.087,0.071,0.079,237.0,261.0,175.0,41.0,0.14,0.04,0.0,0.07,0.07,0.99,0.203,0.016,0.07,0.006,0.0,0.0,0,0.237
12,1.9365123999887146,3.008,0.008,0.005,0.007,0.008,0.079,0.047,0.095,0.095,145.0,283.0,188.0,189.0,0.146,0.079,0.237,0.08,0.086,0.9,1.191,0.014,0.08,0.007,0.0,0.0,0,0.145
13,1.9516345000010915,2.993,0.009,0.006,0.009,0.009,0.12,0.047,0.105,0.088,38.0,107.0,0.0,221.0,0.14,0.12,0.237,0.089,0.081,0.72,0.627,0.012,0.089,0.008,0.0,0.0,0,0.038
14,1.9675785999861546,2.988,0.01,0.009,0.01,0.01,0.112,0.159,0.105,0.12,244.0,-145.0,-39.0,-68.0,0.148,0.112,0.0,0.123,0.113,0.54,2.721,0.01,0.123,0.009,0.0,0.0,0,0.244
15,1.972296699997969,2.976,0.012,0.011,0.011,0.012,0.121,0.2,0.12,0.144,107.0,-110.0,-68.0,-116.0,0.152,0.121,0.237,0.145,0.135,0.45,1.397,0.008,0.145,0.011,0.0,0.0,0,0.107
16,1.9885055999620818,2.97,0.013,0.011,0.013,0.013,0.121,0.136,0.136,0.16,66.0,154.0,-141.0,-188.0,0.141,0.121,0.0,0.137,0.129,0.27,-1.864,0.005,0.137,0.013,0.0,0.0,0,0.066
17,1.9933448999654502,2.961,0.014,0.011,0.014,0.014,0.112,0.039,0.136,0.112,-45.0,280.0,-93.0,133.0,0.114,0.112,0.0,0.101,0.107,0.18,-4.2,0.003,0.101,0.014,0.0,0.0,0,-0.045
18,2.008862499962561,2.958,0.014,0.013,0.015,0.016,0.056,0.103,0.112,0.112,116.0,-155.0,122.0,-55.0,0.101,0.056,0.0,0.095,0.092,0.0,-1.702,0.0,0.095,0.014,0.0,0.0,0,0.116
19,2.028059199976269,2.954,0.015,0.016,0.015,0.017,0.032,0.193,0.056,0.112,282.0,-218.0,234.0,-56.0,0.099,0.032,0.0,0.099,0.11,-0.09,-1.536,-0.001,0.099,0.016,0.0,0.0,0,0.282
20,2.0329324000049382,2.95,0.017,0.017,0.016,0.018,0.097,0.137,0.056,0.112,-156.0,57.0,103.0,-69.0,0.092,0.097,0.237,0.1,0.099,-0.18,-1.179,-0.003,0.1,0.017,0.0,0.0,0,-0.156
21,2.037270799977705,2.947,0.019,0.016,0.019,0.018,0.161,0.009,0.129,0.064,-191.0,289.0,-246.0,178.0,0.082,0.161,0.0,0.091,0.094,-0.27,-2.191,-0.005,0.091,0.018,0.0,0.0,0,-0.191
22,2.0531437000026926,2.942,0.019,0.017,0.02,0.018,0.105,0.024,0.153,-0.0,47.0,-86.0,-344.0,140.0,0.06,0.105,0.0,0.069,0.06,-0.45,-2.991,-0.006,0.069,0.019,0.0,0.0,0,0.047
23,2.068733699969016,2.934,0.019,0.019,0.02,0.018,0.023,0.137,0.089,0.015,199.0,-444.0,66.0,-80.0,0.049,0.023,0.0,0.065,0.058,-0.45,-1.323,-0.007,0.065,0.019,0.0,0.0,0,0.199
24,2.073436099977698,2.928,0.019,0.021,0.02,0.02,-0.0,0.164,0.033,0.104,127.0,-145.0,58.0,-259.0,0.044,-0.0,0.0,0.075,0.074,-0.45,0.039,-0.008,0.075,0.02,0.0,0.0,0,0.127
25,2.0909863999695517,2.927,0.021,0.021,0.021,0.02,0.065,0.098,0.024,0.08,-215.0,-48.0,-134.0,50.0,0.035,0.065,0.237,0.066,0.064,-0.63,-2.487,-0.01,0.066,0.021,0.0,0.0,0,-0.215
26,2.099788299994543,2.928,0.023,0.02,0.021,0.02,0.119,-0.047,0.047,0.024,-370.0,376.0,-108.0,118.0,0.017,0.119,0.237,0.037,0.043,-0.63,-3.951,-0.01,0.037,0.021,0.0,0.0,0,-0.37
27,2.1220809999504127,2.926,0.023,0.02,0.021,0.02,0.072,-0.056,0.039,0.024,105.0,123.0,-125.0,-93.0,-0.002,0.072,-0.237,0.021,0.028,-0.72,-3.204,-0.011,0.021,0.021,0.0,0.0,0,0.105
28,2.131076399993617,2.926,0.023,0.021,0.021,0.021,0.032,-0.0,0.015,0.047,-107.0,-161.0,-73.0,-137.0,-0.009,0.032,0.0,0.023,0.015,-0.72,-0.126,-0.012,0.023,0.021,0.0,0.0,0,-0.107
29,2.1360476999543607,2.926,0.023,0.023,0.021,0.02,-0.024,0.096,0.0,0.024,49.0,-368.0,-57.0,-104.0,-0.016,-0.024,0.0,0.023,0.016,-0.72,-0.073,-0.012,0.023,0.022,0.0,0.0,0,0.049
30,2.1401964999968186,2.922,0.023,0.022,0.021,0.02,0.024,0.064,0.0,0.0,-101.0,-183.0,-54.0,-53.0,-0.016,0.024,0.0,0.022,0.023,-0.63,0.3,-0.011,0.022,0.022,0.0,0.0,0,-0.101
31,2.15600799996173,2.916,0.022,0.02,0.021,0.02,-0.009,-0.09,0.0,0.0,-107.0,349.0,-126.0,-244.0,-0.038,-0.009,0.0,-0.025,-0.023,-0.63,-4.102,-0.011,-0.025,0.021,0.0,0.0,0,-0.107
32,2.174581999948714,2.914,0.021,0.019,0.02,0.02,-0.074,-0.107,-0.024,-0.009,176.0,-54.0,75.0,-132.0,-0.056,-0.074,0.0,-0.053,-0.052,-0.54,-2.185,-0.01,-0.053,0.02,0.0,0.0,0,0.176
33,2.1806624999735504,2.911,0.02,0.02,0.02,0.019,-0.089,-0.032,-0.047,-0.018,230.0,-297.0,147.0,-90.0,-0.053,-0.089,-0.237,-0.047,-0.046,-0.54,0.869,-0.009,-0.047,0.02,0.0,0.0,0,0.23
34,2.1982679999782704,2.91,0.02,0.019,0.019,0.019,-0.024,0.009,-0.071,-0.017,-157.0,74.0,115.0,-51.0,-0.037,-0.024,0.0,-0.025,-0.023,-0.45,1.954,-0.008,-0.025,0.019,0.0,0.0,0,-0.157
35,2.202714599960018,2.909,0.02,0.018,0.019,0.018,-0.024,-0.056,-0.047,-0.017,-48.0,193.0,58.0,-62.0,-0.035,-0.024,0.0,-0.035,-0.029,-0.36,-0.308,-0.006,-0.035,0.019,0.0,0.0,0,-0.048
36,2.2198353999992833,2.906,0.02,0.018,0.018,0.018,-0.024,-0.089,-0.056,-0.018,-46.0,143.0,197.0,-58.0,-0.034,-0.024,0.0,-0.046,-0.039,-0.27,-0.186,-0.005,-0.046,0.019,0.0,0.0,0,-0.046
37,2.224148199951742,2.906,0.02,0.019,0.018,0.018,-0.024,0.023,-0.033,-0.017,87.0,-185.0,105.0,74.0,-0.013,-0.024,0.0,-0.013,-0.014,-0.09,4.771,-0.003,-0.013,0.018,0.0,0.0,0,0.087
38,2.2416312999557704,2.903,0.019,0.019,0.019,0.018,-0.047,0.065,0.0,-0.009,167.0,-117.0,73.0,89.0,0.007,-0.047,0.0,0.003,0.007,0.0,3.729,-0.002,0.003,0.019,0.0,0.0,0,0.167
39,2.246602899977006,2.901,0.019,0.018,0.019,0.018,-0.024,-0.023,0.032,0.024,123.0,240.0,-48.0,-1.0,0.019,-0.024,0.0,0.003,0.011,0.0,0.498,-0.001,0.003,0.019,0.0,0.0,0,0.123
40,2.268880999996327,2.898,0.019,0.016,0.019,0.018,0.0,-0.122,0.032,0.033,-104.0,435.0,-51.0,-53.0,0.018,0.0,0.0,-0.014,-0.014,0.09,0.395,0.0,-0.014,0.018,0.0,0.0,0,-0.104
41,2.278818999999203,2.897,0.019,0.016,0.019,0.018,0.0,-0.089,-0.009,0.033,91.0,152.0,108.0,-36.0,0.021,0.0,0.0,-0.017,-0.021,0.18,2.24,0.002,-0.017,0.018,0.0,0.0,0,0.091
42,2.2851753999711946,2.905,0.02,0.018,0.018,0.018,0.024,0.016,-0.017,-0.032,-112.0,-187.0,146.0,339.0,0.03,0.024,0.237,-0.003,-0.009,0.18,2.812,0.002,-0.003,0.018,0.0,0.0,0,-0.112
43,2.2907153999549337,2.905,0.02,0.019,0.02,0.018,0.024,0.104,0.048,-0.032,120.0,-99.0,-151.0,229.0,0.052,0.024,0.0,0.036,0.032,0.18,4.171,0.003,0.036,0.019,0.0,0.0,0,0.12
